School Year,Gender Description,School Code,School,School Type Description,Community Code,Community Description,Grade Description,Pediatric Category Description,Student Case Count,Student Enrollment Count,Prevalence,Lower CI,Upper CI,Statistical Significance,Stability,State Student Case Count,State Student Enrollment Count,State Prevalence,State Lower CI,State Upper CI,matched_name
2017-2018,Total,2480025,Abraham Lincoln,Public,248,Revere,Total,Asthma,87,605.0,14.4,11.4,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Abraham Lincoln School
2017-2018,Total,3420805,Abundant Life Chr School,Private,342,Wilmington,Total,Asthma,NS,102.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Abundant Life Christian School
2017-2018,Total,3010804,Acad of Notre Dame Elem,Private,301,Tyngsborough,Total,Asthma,34,322.0,10.6,7,14.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Academy of Notre Dame Elementary School
2017-2018,Total,3360005,Academy Avenue,Public,336,Weymouth,Total,Asthma,34,307.0,11.1,7.4,14.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Academy Avenue School
2017-2018,Total,2810805,Academy Hill School,Private,281,Springfield,Total,Asthma,14,80.0,17.5,8.3,26.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Academy Hill School
2017-2018,Total,970320,Academy Middle School,Public,97,Fitchburg,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Stacy Middle School
2017-2018,Total,200805,Academy of Early Learning,Private,20,Barnstable,Total,Asthma,0,8.0,0,0,79.9,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Academy of Early Learning
2017-2018,Total,4150505,Academy of Strategic Learning Charter School,Charter,7,Amesbury,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Academy of the Pacific Rim Charter Public School
2017-2018,Total,4120530,Academy Of the Pacific Rim Charter Public School,Charter,35,Boston,Total,Asthma,60,313.0,19.2,14.3,24.1,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Academy of the Pacific Rim Charter Public School
2017-2018,Total,3480275,Accelerated Learning Lab,Public,348,Worcester,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Chelsea Virtual Learning Academy
2017-2018,Total,1780815,Acera School,Private,344,Winchester,Total,Asthma,NS,125.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Acera School
2017-2018,Total,950055,ACESE,Public,95,Fall River,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Acera School
2017-2018,Total,30025,Acushnet Elementary School,Public,3,Acushnet,Total,Asthma,29,499.0,5.8,3.7,7.9,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Acushnet Elementary School
2017-2018,Total,6030305,Adams Middle,Public,4,Adams,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Dedham Middle School
2017-2018,Total,4300305,Advanced Math and Science Academy Charter School,Charter,170,Marlborough,Total,Asthma,28,461.0,6.1,3.8,8.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Advanced Math and Science Academy Charter School
2017-2018,Total,350702,Advent,Private,35,Boston,Total,Asthma,13,172.0,7.6,3.5,11.7,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Advent School
2017-2018,Total,350007,Agassiz,Public,35,Boston,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,"CLASS, Inc."
2017-2018,Total,50405,Agawam Junior High,Public,5,Agawam,Total,Asthma,18,573.0,3.1,1.7,4.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Agawam Junior High School
2017-2018,Total,2710816,Al-Hamra Academy,Private,271,Shrewsbury,Total,Asthma,NS,178.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Al-Hamra Academy
2017-2018,Total,1670820,Al-Noor Academy,Private,167,Mansfield,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Al-Noor Academy
2017-2018,Total,30305,Albert F Ford Middle School,Public,3,Acushnet,Total,Asthma,74,413.0,17.9,13.8,22,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Albert F Ford Middle School
2017-2018,Total,2740087,Albert F. Argenziano School at Lincoln Park,Public,274,Somerville,Total,Asthma,54,566.0,9.5,7,12,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Albert F. Argenziano School at Lincoln Park
2017-2018,Total,2760050,Albert S. Woodward Memorial School,Public,277,Southborough,Total,Asthma,21,266.0,7.9,4.5,11.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Albert S. Woodward Memorial School
2017-2018,Total,670005,Alcott,Public,67,Concord,Total,Asthma,46,483.0,9.5,6.8,12.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alcott School
2017-2018,Total,820004,Alden School,Public,82,Duxbury,Total,Asthma,86,676.0,12.7,10,15.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alden School
2017-2018,Total,1490015,Alexander B Bruce,Public,149,Lawrence,Total,Asthma,79,517.0,15.3,11.9,18.7,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alexander B Bruce School
2017-2018,Total,350011,Alexander Hamilton,Public,35,Boston,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Alexander B Bruce School
2017-2018,Total,2810095,Alfred G. Zanetti Montessori Magnet School,Public,281,Springfield,Total,Asthma,79,359.0,22,17.1,26.9,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alfred G. Zanetti Montessori Magnet School
2017-2018,Total,2010063,Alfred J Gomes,Public,201,New Bedford,Total,Asthma,108,510.0,21.2,17.2,25.2,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alfred J Gomes School
2017-2018,Total,2260010,Alfred M Chaffee,Public,226,Oxford,Total,Asthma,13,243.0,5.3,2.4,8.2,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alfred M Chaffee School
2017-2018,Total,3480822,Alhuda Academy,Private,348,Worcester,Total,Asthma,6,76.0,7.9,1.6,14.2,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Alhuda Academy
2017-2018,Total,3310015,Alice A Macomber,Public,334,Westport,Total,Asthma,40,323.0,12.4,8.6,16.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alice A Macomber School
2017-2018,Total,2810175,Alice B Beal Elementary,Public,281,Springfield,Total,Asthma,38,261.0,14.6,10,19.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alice B Beal Elementary School
2017-2018,Total,2460002,Alice M Barrows,Public,246,Reading,Total,Asthma,33,377.0,8.8,5.8,11.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alice M Barrows School
2017-2018,Total,3160820,All Saints Academy - Elementary School Campus,Private,316,Webster,Total,Asthma,15,85.0,17.6,8.7,26.5,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,All Saints Academy - St. Louis Campus
2017-2018,Total,2010810,All Saints Catholic School,Private,201,New Bedford,Total,Asthma,8,145.0,5.5,1.7,9.3,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,All Saints Catholic School
2017-2018,Total,2120005,Allen Avenue,Public,211,North Attleborough,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Academy Avenue School
2017-2018,Total,2360010,Allendale,Public,236,Pittsfield,Total,Asthma,68,288.0,23.6,18,29.2,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Allendale School
2017-2018,Total,4090205,Alma del Mar Charter School,Charter,201,New Bedford,Total,Asthma,47,413.0,11.4,8.1,14.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Alma del Mar Charter School
2017-2018,Total,3440045,Ambrose Elementary,Public,344,Winchester,Total,Asthma,33,421.0,7.8,5.1,10.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Ambrose Elementary School
2017-2018,Total,70005,Amesbury Elementary,Public,7,Amesbury,Total,Asthma,7,370.0,1.9,.5,3.3,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Salisbury Elementary School
2017-2018,Total,70013,Amesbury Middle,Public,7,Amesbury,Total,Asthma,50,677.0,7.4,5.3,9.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Amesbury Middle School
2017-2018,Total,80805,Amherst Montessori School,Private,8,Amherst,Total,Asthma,NS,18.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Amherst Montessori School
2017-2018,Total,6050405,Amherst Regional Middle School,Public,8,Amherst,Total,Asthma,64,410.0,15.6,11.8,19.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Amherst Regional Middle School
2017-2018,Total,490006,Amigos School,Public,49,Cambridge,Total,Asthma,15,373.0,4,2,6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Amigos School
2017-2018,Total,2120007,Amvet Boulevard,Public,211,North Attleborough,Total,Asthma,46,398.0,11.6,8.2,15,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Amvet Boulevard School
2017-2018,Total,90805,Andover Sch of Montessori,Private,9,Andover,Total,Asthma,NS,96.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Andover School of Montessori
2017-2018,Total,90310,Andover West Middle,Public,9,Andover,Total,Asthma,29,525.0,5.5,3.5,7.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Andover West Middle School
2017-2018,Total,720010,Andrew B Cushman,Public,72,Dartmouth,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Andrew B. Cushman School
2017-2018,Total,720005,Andrew B. Cushman School,Public,72,Dartmouth,Total,Asthma,6,74.0,8.1,1.6,14.6,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Andrew B. Cushman School
2017-2018,Total,2380010,Anna Ware Jackson,Public,238,Plainville,Total,Asthma,48,346.0,13.9,10,17.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Anna Ware Jackson School
2017-2018,Total,3400005,Anne T Dunphy,Public,340,Williamsburg,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Anne T. Dunphy School
2017-2018,Total,3400020,Anne T. Dunphy School,Public,340,Williamsburg,Total,Asthma,15,150.0,10,4.9,15.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Anne T. Dunphy School
2017-2018,Total,3210010,Annie E Fales,Public,328,Westborough,Total,Asthma,19,338.0,5.6,3.1,8.1,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Annie E Fales School
2017-2018,Total,2110018,Annie L Sargent School,Public,210,North Andover,Total,Asthma,40,559.0,7.2,5,9.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Annie L Sargent School
2017-2018,Total,1010040,Annie Sullivan Middle School,Public,101,Franklin,Total,Asthma,57,446.0,12.8,9.5,16.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Annie Sullivan Middle School
2017-2018,Total,950810,Antioch,Private,95,Fall River,Total,Asthma,7,68.0,10.3,2.7,17.9,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Antioch School
2017-2018,Total,970805,Applewild,Private,97,Fitchburg,Total,Asthma,21,155.0,13.5,7.7,19.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Applewild School
2017-2018,Total,160815,Arbour Fuller Hospital,Private,16,Attleboro,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Arbour Fuller Hospital Special Ed. Program
2017-2018,Total,400033,Archie T Morrison,Public,40,Braintree,Total,Asthma,70,418.0,16.7,12.8,20.6,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Archie T Morrison School
2017-2018,Total,35090305,Argosy Collegiate Charter School,Charter,95,Fall River,Total,Asthma,55,308.0,17.9,13.2,22.6,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Argosy Collegiate Charter School
2017-2018,Total,100860,Arlington Children's Center,Private,10,Arlington,Total,Asthma,NS,21.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Arlington Children's Center
2017-2018,Total,1490008,Arlington Elementary School,Public,149,Lawrence,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Arlington Elementary School
2017-2018,Total,1490017,Arlington Middle School,Public,149,Lawrence,Total,Asthma,28,586.0,4.8,3,6.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Arlington Middle School
2017-2018,Total,1550801,Armenian Sisters Academy,Private,155,Lexington,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Worcester Academy
2017-2018,Total,2740075,Arthur D Healey,Public,274,Somerville,Total,Asthma,60,433.0,13.9,10.4,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Arthur D Healey School
2017-2018,Total,970315,Arthur M Longsjo Middle School,Public,97,Fitchburg,Total,Asthma,130,590.0,22,18.2,25.8,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Arthur M Longsjo Middle School
2017-2018,Total,2810165,Arthur T Talmadge,Public,281,Springfield,Total,Asthma,64,254.0,25.2,19,31.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Arthur T Talmadge School
2017-2018,Total,3460020,Arthur T. Cummings Elementary School,Public,346,Winthrop,Total,Asthma,31,454.0,6.8,4.4,9.2,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Arthur T. Cummings Elementary School
2017-2018,Total,2460305,Arthur W Coolidge Middle,Public,246,Reading,Total,Asthma,52,476.0,10.9,7.9,13.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Arthur W Coolidge Middle School
2017-2018,Total,7350010,Ashby Elementary,Public,12,Ashby,Total,Asthma,22,184.0,12,7,17,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Ashby Elementary School
2017-2018,Total,440004,Ashfield,Public,44,Brockton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Schofield School
2017-2018,Total,440421,Ashfield Middle School,Public,44,Brockton,Total,Asthma,77,504.0,15.3,11.9,18.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Ashfield Middle School
2017-2018,Total,140405,Ashland Middle,Public,14,Ashland,Total,Asthma,74,601.0,12.3,9.5,15.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Ashland Middle School
2017-2018,Total,1460005,Assawompset Elementary School,Public,146,Lakeville,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Assawompset Elementary School
2017-2018,Total,6650002,Assawompset Elementary School,Public,146,Lakeville,Total,Asthma,47,434.0,10.8,7.7,13.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Assawompset Elementary School
2017-2018,Total,1860805,Assumption,Private,186,Millbury,Total,Asthma,13,84.0,15.5,7.1,23.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Assumption School
2017-2018,Total,2430040,Atherton Hough,Public,243,Quincy,Total,Asthma,28,251.0,11.2,7.1,15.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Atherton Hough School
2017-2018,Total,6150020,Athol Community Elementary School,Public,15,Athol,Total,Asthma,74,509.0,14.5,11.2,17.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Athol Community Elementary School
2017-2018,Total,6150305,Athol-Royalston Middle School,Public,15,Athol,Total,Asthma,80,391.0,20.5,16,25,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Athol-Royalston Middle School
2017-2018,Total,2110001,Atkinson,Public,210,North Andover,Total,Asthma,20,448.0,4.5,2.5,6.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Atkinson School
2017-2018,Total,2430305,Atlantic Middle,Public,243,Quincy,Total,Asthma,72,497.0,14.5,11.2,17.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Atlantic Middle School
2017-2018,Total,4910550,Atlantis Charter School,Charter,95,Fall River,Total,Asthma,153,969.0,15.8,13.3,18.3,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Atlantis Charter School
2017-2018,Total,3140810,Atrium,Private,314,Watertown,Total,Asthma,14,123.0,11.4,5.4,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Atrium School
2017-2018,Total,170305,Auburn Middle,Public,17,Auburn,Total,Asthma,92,632.0,14.6,11.6,17.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Auburn Middle School
2017-2018,Total,2460805,Austin Prep,Private,246,Reading,Total,Asthma,18,190.0,9.5,5.1,13.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Austin Prep School
2017-2018,Total,730010,Avery,Public,73,Dedham,Total,Asthma,55,321.0,17.1,12.6,21.6,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Avery School
2017-2018,Total,180510,Avon Middle High School,Public,18,Avon,Total,Asthma,16,124.0,12.9,6.6,19.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Avon Middle High School
2017-2018,Total,190305,Ayer Middle,Public,19,Ayer,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Cameron Middle School
2017-2018,Total,6160305,Ayer Shirley Regional Middle School,Public,270,Shirley,Total,Asthma,45,370.0,12.2,8.6,15.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Ayer Shirley Regional Middle School
2017-2018,Total,300055,Ayers/Ryal Side School,Public,30,Beverly,Total,Asthma,57,501.0,11.4,8.4,14.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Ayers/Ryal Side School
2017-2018,Total,970305,B F Brown Arts Vision School,Public,97,Fitchburg,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Boston Latin School
2017-2018,Total,1600310,B.F. Butler Middle School,Public,160,Lowell,Total,Asthma,102,534.0,19.1,15.4,22.8,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Benjamin F. Butler Middle School
2017-2018,Total,2200005,Balch,Public,220,Norwood,Total,Asthma,47,296.0,15.9,11.4,20.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Balch School
2017-2018,Total,350003,Baldwin Early Learning Center,Public,35,Boston,Total,Asthma,NS,90.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Malden Early Learning Center
2017-2018,Total,7200005,Baldwinville Elementary,Public,294,Templeton,Total,Asthma,39,289.0,13.5,9.3,17.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Bryantville Elementary School
2017-2018,Total,2810360,Balliet Middle School,Public,281,Springfield,Total,Asthma,9,51.0,17.6,6.1,29.1,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,McCall Middle School
2017-2018,Total,90003,Bancroft Elementary,Public,9,Andover,Total,Asthma,49,578.0,8.5,6.1,10.9,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Bancroft Elementary School
2017-2018,Total,3480815,Bancroft School,Private,348,Worcester,Total,Asthma,24,207.0,11.6,7,16.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Bancroft School
2017-2018,Total,870807,Baptist Village Christian Academy,Private,281,Springfield,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,East Gate Christian Academy
2017-2018,Total,1000035,Barbieri Elementary,Public,100,Framingham,Total,Asthma,60,681.0,8.8,6.6,11,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Barbieri Elementary School
2017-2018,Total,4270010,Barnstable Community Horace Mann Charter Public School,Charter,20,Barnstable,Total,Asthma,13,307.0,4.2,1.9,6.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Marblehead Community Charter Public School
2017-2018,Total,200505,Barnstable High,Public,20,Barnstable,Total,Asthma,34,391.0,8.7,5.8,11.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Barnstable High School
2017-2018,Total,4230010,Barnstable Horace Mann Charter School,Charter,20,Barnstable,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Boston Green Academy Horace Mann Charter School
2017-2018,Total,200315,Barnstable Intermediate School,Public,20,Barnstable,Total,Asthma,39,737.0,5.3,3.6,7,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Barnstable Intermediate School
2017-2018,Total,200305,Barnstable Middle School,Public,20,Barnstable,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Marshall Middle School
2017-2018,Total,200050,Barnstable United Elementary School,Public,20,Barnstable,Total,Asthma,71,857.0,8.3,6.4,10.2,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Barnstable United Elementary School
2017-2018,Total,440007,Barrett Russell School,Public,44,Brockton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Margaret C Ells School
2017-2018,Total,610003,Barry,Public,61,Chicopee,Total,Asthma,27,399.0,6.8,4.2,9.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Barry School
2017-2018,Total,1600090,Bartlett Community Partnership,Public,160,Lowell,Total,Asthma,112,472.0,23.7,19.3,28.1,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Bartlett Community Partnership School
2017-2018,Total,3160505,Bartlett Jr Sr High School,Public,316,Webster,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Bartlett High School
2017-2018,Total,3080830,Bartlett School,Private,308,Waltham,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Bartlett High School
