SCHOOLS_PT_SCHID,SCHOOLS_PT_NAME,SCHOOLS_PT_ADDRESS,SCHOOLS_PT_TOWN_MAIL,SCHOOLS_PT_TOWN,SCHOOLS_PT_ZIPCODE,SCHOOLS_PT_PHONE,SCHOOLS_PT_GRADES,SCHOOLS_PT_TYPE,SCHOOLS_PT_TYPE_DESC,SCHOOLS_PT_DIST_NAME,SCHOOLS_PT_DIST_CODE,SCHOOLS_PT_MA_ADDR_ID,SCHOOLS_PT_TYPE_DESC2,updated_csv_csv_School_Year,updated_csv_csv_Gender_Description,updated_csv_csv_School_Code,updated_csv_csv_School,updated_csv_csv_School_Type_Description,updated_csv_csv_Community_Code,updated_csv_csv_Community_Description,updated_csv_csv_Grade_Description,updated_csv_csv_Pediatric_Category_Description,updated_csv_csv_Student_Case_Count,updated_csv_csv_Student_Enrollment_Count,updated_csv_csv_Prevalence,updated_csv_csv_Lower_CI,updated_csv_csv_Upper_CI,updated_csv_csv_Statistical_Significance,updated_csv_csv_Stability,updated_csv_csv_State_Student_Case_Count,updated_csv_csv_State_Student_Enrollment_Count,updated_csv_csv_State_Prevalence,updated_csv_csv_State_Lower_CI,updated_csv_csv_State_Upper_CI,updated_csv_csv_matched_name,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAR_FID,NEAREST_OPENSPACE,NEAR_FID_ROAD,NEAREST_ROAD
02010415,Roosevelt Middle School,119 Frederick Street,New Bedford,NEW BEDFORD,02744,508-997-4511,"06,07,08",MID,Public Middle,New Bedford,02010000,4075202, ,2017-2018,Total,2010415,Roosevelt Middle School,Public,201,New Bedford,Total,Asthma,189,805.000000000000000,23.5,20.1,26.9,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Roosevelt Middle School,76.2700577,0.0778031,13.4208651,23.8474159,23773,68.268693045545817,258819,27.509570742636924
01140010,Federal Street School,125 Federal Street,Greenfield,GREENFIELD,01301,413-772-1380,"K,01,02,03,04",ELE,Public Elementary,Greenfield,01140000,220746, ,2017-2018,Total,1140010,Federal Street School,Public,114,Greenfield,Total,Asthma,33,247.000000000000000,13.4,8.8,18,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Federal Street School,35.9484406,0.0713610,16.3510246,21.8918610,24277,52.596571421527059,14883,58.943026637112553
02290010,Thomas Carroll School,60 Northend Street,Peabody,PEABODY,01960,978-536-4200,"PK,K,01,02,03,04,05",ELE,Public Elementary,Peabody,02290000,3712485, ,2017-2018,Total,2290010,Thomas Carroll,Public,229,Peabody,Total,Asthma,56,623.000000000000000,9,6.6,11.4,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Thomas Carroll School,39.4118538,0.0707211,14.0201674,23.5281487,41913,42.970164316109432,470738,38.513455301281532
04830305,Rising Tide Charter Public School,59 Armstrong Road,Plymouth,PLYMOUTH,02360,508-747-2620,"05,06,07,08,09,10,11,12",CHA,Charter,Rising Tide Charter,04830000,2182323, ,2017-2018,Total,4830305,Rising Tide Charter Public School,Charter,239,Plymouth,Total,Asthma,40,365.000000000000000,11,7.6,14.4,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Rising Tide Charter Public School,69.9309235,0.0798122,12.3305473,24.8047428,3843,458.632187282799691,535755,44.944190644232293
03260025,Col. John Robinson School,60 Concord Road,Westford,WESTFORD,01886,978-692-5586,"PK,K,01,02",ELE,Public Elementary,Westford,03260000,1474003, ,2017-2018,Total,3260025,Col John Robinson,Public,330,Westford,Total,Asthma,29,291.000000000000000,10,6.4,13.6,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Col. John Robinson School,37.9467087,0.0677952,15.6894283,22.8441277,45892,0.000000000000000,142181,95.765885259771864
02390011,Federal Furnace School,860 Federal Furnace Road,Plymouth,PLYMOUTH,02360,508-830-4360,"K,01,02,03,04,05",ELE,Public Elementary,Plymouth,02390000,2194647, ,2017-2018,Total,2390011,Federal Furnace School,Public,239,Plymouth,Total,Asthma,49,386.000000000000000,12.7,9.1,16.3,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Federal Furnace School,72.6894073,0.0795512,12.2990398,24.8791199,24767,27.217379207871126,294681,36.599660660790072
00440078,Oscar F Raymond School,125 Oak Street,Brockton,BROCKTON,02301,508-580-7364,"PK,K,01,02,03,04,05",ELE,Public Elementary,Brockton,00440000,3268707, ,2017-2018,Total,440078,Oscar F Raymond,Public,44,Brockton,Total,Asthma,105,912.000000000000000,11.5,9.3,13.7,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Oscar F Raymond School,71.2807159,0.0756000,14.3950062,23.7987614,48243,78.049805881470661,503000,48.418122779206492
00300010,Centerville Elementary School,17 Hull Street,Beverly,BEVERLY,01915,978-921-6120,"K,01,02,03,04",ELE,Public Elementary,Beverly,00300000,4161465, ,2017-2018,Total,200010,Centerville Elementary,Public,20,Barnstable,Total,Asthma,9,259.000000000000000,3.5,1.2,5.8,Statistically significantly lower,Unstable,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Centerville Elementary School,36.3445587,0.0705331,13.2429371,23.4956036,47064,26.445587586538235,459311,122.262227477052562
01420015,Lillian M. Jacobs School,18 Harborview Road,Hull,HULL,02045,781-925-4400,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,Hull,01420000,3461733, ,2017-2018,Total,1420015,Lillian M Jacobs,Public,142,Hull,Total,Asthma,21,356.000000000000000,5.9,3.4,8.4,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Lillian M. Jacobs School,56.4640656,0.0731279,14.5756731,23.6382885,41345,11.595223071686673,305744,53.434727263329989
00870010,Mapleshade School,175 Mapleshade Avenue,East Longmeadow,EAST LONGMEADOW,01028,413-525-5485,"03,04,05",ELE,Public Elementary,East Longmeadow,00870000,161592, ,2017-2018,Total,860010,Maple,Public,87,Easthampton,Total,Asthma,16,207.000000000000000,7.7,3.9,11.5,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Mapleshade School,43.5366783,0.0739632,15.8450174,20.5387249,39935,0.000000000000000,376426,35.915366679874637
02340005,Petersham Center School,31 Spring Street,Petersham,PETERSHAM,01366,978-724-3363,"K,01,02,03,04,05,06",ELE,Public Elementary,Petersham,02340000,4213494, ,2017-2018,Total,2340005,Petersham Center,Public,234,Petersham,Total,Asthma,12,116.000000000000000,10.3,4.5,16.1,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Petersham Center School,34.6514969,0.0734954,15.4849892,20.4103909,41733,0.000000000000000,415679,6.817372022555214
04450105,Abby Kelley Foster Charter Public School,10 New Bond Street,Worcester,WORCESTER,01606,508-854-8400,"K,01,02,03,04,05,06,07,08,09,10,11,12",CHA,Charter,Abby Kelley Foster Charter,04450000,1377765, ,2017-2018,Total,4450105,Abby Kelley Foster Charter Public School,Charter,348,Worcester,Total,Asthma,65,1061.000000000000000,6.1,4.6,7.6,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Abby Kelley Foster Charter Public School,44.1770325,0.0717034,15.3227768,21.3001690,30185,209.856582962232437,412783,93.445345432280476
06580030,Heritage School,34 Oxford Road,Charlton,CHARLTON,01507,508-248-4884,"02,03,04",ELE,Public Elementary,Dudley-Charlton,06580000,1130041, ,2017-2018,Total,6580030,Heritage School,Public,54,Charlton,Total,Asthma,64,480.000000000000000,13.3,10,16.6,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Heritage School,47.4388123,0.0735692,15.3014946,19.8188972,39912,0.000000000000000,425136,117.723670997913260
00670005,Alcott School,93 Laurel Street,Concord,CONCORD,01742,978-318-9544,"PK,K,01,02,03,04,05",ELE,Public Elementary,Concord,00670000,2356374, ,2017-2018,Total,670005,Alcott,Public,67,Concord,Total,Asthma,46,483.000000000000000,9.5,6.8,12.2,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Alcott School,46.1103325,0.0691333,16.7817936,23.3376274,23181,254.955635587007151,430616,139.318703219045517
00730030,Oakdale School,147 Cedar Street,Dedham,DEDHAM,02026,781-310-6000,"01,02,03,04,05",ELE,Public Elementary,Dedham,00730000,2471036, ,2017-2018,Total,730030,Oakdale,Public,73,Dedham,Total,Asthma,26,285.000000000000000,9.1,5.6,12.6,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Oakdale School,64.8757401,0.0728196,17.4353828,23.2981758,38753,0.000000000000000,236912,31.496951114652905
00870015,Mountain View School,77 Hampden Road,East Longmeadow,EAST LONGMEADOW,01028,413-525-5490,"03,04,05",ELE,Public Elementary,East Longmeadow,00870000,166514, ,2017-2018,Total,870015,Mountain View,Public,85,East Longmeadow,Total,Asthma,45,293.000000000000000,15.4,10.9,19.9,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Mountain View School,43.6496429,0.0744535,15.8957186,20.3854065,40018,0.000000000000000,370954,36.498642253493969
03480423,Sullivan Middle School,140 Apricot Street,Worcester,WORCESTER,01603,508-799-3350,"06,07,08",MID,Public Middle,Worcester,03480000,1396732, ,2017-2018,Total,3480423,Sullivan Middle,Public,348,Worcester,Total,Asthma,190,865.000000000000000,22,18.9,25.1,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Sullivan Middle School,45.4071579,0.0721899,15.2278252,20.8550014,47898,116.781061671991424,57599,204.497897040346317
01520505,Lenox Memorial High School,197 East Street,Lenox,LENOX,01240,413-637-5560,"06,07,08,09,10,11,12",SEC,Public Secondary,Lenox,01520000,653418, ,2017-2018,Total,1520505,Lenox Memorial High,Public,152,Lenox,Total,Asthma,9,199.000000000000000,4.5,1.6,7.4,Statistically significantly lower,Unstable,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Lenox Memorial High School,43.7853050,0.0642311,40.6458359,23.2769165,44601,43.020620415491607,342864,40.577343197385481
02100020,Jackson Street School,120 Jackson Street,Northampton,NORTHAMPTON,01060,413-587-1510,"K,01,02,03,04,05",ELE,Public Elementary,Northampton,02100000,693372, ,2017-2018,Total,2100020,Jackson Street,Public,214,Northampton,Total,Asthma,49,358.000000000000000,13.7,9.9,17.5,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Jackson Street School,39.2028999,0.0708612,19.3998947,21.7566395,49375,52.922221716089865,388434,40.220227647220270
02010050,John B Devalles School,120 Katherine Street,New Bedford,NEW BEDFORD,02744,508-997-4511,"K,01,02,03,04,05",ELE,Public Elementary,New Bedford,02010000,4063396, ,2017-2018,Total,2010050,John B Devalles,Public,201,New Bedford,Total,Asthma,68,389.000000000000000,17.5,13.3,21.7,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,John B Devalles School,76.2627869,0.0777769,13.4442348,23.8515568,24466,13.881747423818741,280042,34.642067538308517
01280100,Consentino Middle School,685 Washington Street,Haverhill,HAVERHILL,01832,978-374-5775,"05,06,07,08",MID,Public Middle,Haverhill,01280000,2219766, ,2017-2018,Total,1280005,Consentino Annex at Bartlett School,Public,128,Haverhill,Total,Asthma,12,107.000000000000000,11.2,4.9,17.5,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Consentino Middle School,29.2169304,0.0668357,13.4214201,22.7032871,48573,13.363841891795992,464102,2.552666435862891
04460550,Foxborough Regional Charter School,131 Central Street,Foxborough,FOXBOROUGH,02035,508-543-2508,"K,01,02,03,04,05,06,07,08,09,10,11,12",CHA,Charter,Foxborough Regional Charter,04460000,2495891, ,2017-2018,Total,4460550,Foxborough Regional Charter School,Charter,99,Foxborough,Total,Asthma,139,1189.000000000000000,11.7,9.8,13.6,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Foxborough Regional Charter School,71.4238586,0.0747903,15.0386810,23.7405605,35086,152.445462251104374,485009,68.405469953944575
06580310,Charlton Middle School,2 Oxford Road,Charlton,CHARLTON,01507,508-248-1423,"05,06,07,08",MID,Public Middle,Dudley-Charlton,06580000,1127610, ,2017-2018,Total,6580310,Charlton Middle School,Public,54,Charlton,Total,Asthma,49,691.000000000000000,7.1,5.1,9.1,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Charlton Middle School,47.5905380,0.0736290,15.2846146,19.8020897,39912,1.258752028765201,383529,159.081842632413782
02920020,Joseph G Luther School,100 Pearse Road,Swansea,SWANSEA,02777,508-675-7499,"03,04,05",ELE,Public Elementary,Swansea,02920000,2701624, ,2017-2018,Total,2920020,Joseph G Luther,Public,292,Swansea,Total,Asthma,55,228.000000000000000,24.1,17.7,30.5,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Joseph G Luther School,79.7624588,0.0767377,13.2807951,24.8429222,32396,138.700303432985038,271566,58.416199778016399
04920005,"Martin Luther King, Jr. Charter School of Excellence",285 Dorset Street,Springfield,SPRINGFIELD,01108,413-214-7806,"K,01,02,03,04,05",CHA,Charter,Martin Luther King Jr. Charter School of Excellence,04920000,577064, ,2017-2018,Total,4920005,Martin Luther King Jr. Charter School of Excellence,Charter,281,Springfield,Total,Asthma,80,361.000000000000000,22.2,17.3,27.1,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,"Martin Luther King, Jr. Charter School of Excellence",43.5872650,0.0732972,15.8904848,20.7188911,29509,578.310694861964862,43267,113.596848685634498
01050005,Perley Elementary School,51 North Street,Georgetown,GEORGETOWN,01833,978-352-5780,PK,ELE,Public Elementary,Georgetown,01050000,2290280, ,2017-2018,Total,360010,Peebles Elementary School,Public,36,Bourne,Total,Asthma,33,339.000000000000000,9.7,6.4,13,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Perley Elementary School,30.1819496,0.0678119,13.3186846,22.8661861,22328,17.224074713132538,170003,71.417375430610505
02920015,Gardner School,10 Church Street,Swansea,SWANSEA,02777,508-675-7899,"K,01,02",ELE,Public Elementary,Swansea,02920000,2699900, ,2017-2018,Total,2920015,Gardner,Public,292,Swansea,Total,Asthma,34,261.000000000000000,13,8.6,17.4,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Gardner School,81.1776962,0.0768561,13.2877388,24.7181759,26692,39.120562970601789,519260,32.637752472482582
00930038,Lafayette School,117 Edith Street,Everett,EVERETT,02149,617-394-2450,"K,01,02,03,04,05,06,07,08",ELE,Public Elementary,Everett,00930000,3507458, ,2017-2018,Total,930038,Lafayette School,Public,93,Everett,Total,Asthma,96,944.000000000000000,10.2,8.2,12.2,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Lafayette School,48.5452766,0.0711380,15.7762222,23.5238724,43506,39.116102119225928,448536,32.693792246836949
06740310,Great Falls Middle School,224 Turnpike Road,Montague,MONTAGUE,01351,413-863-7300,"06,07,08",MID,Public Middle,Gill-Montague,06740000,4170411, ,2017-2018,Total,6740310,Great Falls Middle,Public,192,Montague,Total,Asthma,36,245.000000000000000,14.7,9.9,19.5,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Great Falls Middle School,35.0785637,0.0716931,15.6376019,21.8398666,41832,0.000000000000000,355370,50.215961616421239
03480822,Alhuda Academy,248 East Mountain Street,Worcester,WORCESTER,01606,508-854-4700,"PK,K,01,02,03,04,05,06,07,08",PRI,Private, , ,1412759, ,2017-2018,Total,3480822,Alhuda Academy,Private,348,Worcester,Total,Asthma,6,76.000000000000000,7.9,1.6,14.2,Not statistically significantly different,Unstable,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Alhuda Academy,44.7982864,0.0716288,15.4019747,21.5216999,1001,256.953862255479862,65881,48.177650947281329
00670850,Fenn School,516 Monument Street,Concord,CONCORD,01742,978-369-5800,"04,05,06,07,08,09",PRI,Private, , ,2352318, ,2017-2018,Total,670850,Fenn,Private,67,Concord,Total,Asthma,48,305.000000000000000,15.7,11.3,20.1,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Fenn School,44.4414024,0.0687409,16.5647659,23.3110027,23289,158.601336569854880,122772,67.292527932018757
03090020,Stanley M Koziol Elementary School,4 Gould Road,Ware,WARE,01082,413-967-6236,"PK,K,01,02,03",ELE,Public Elementary,Ware,03090000,1003108, ,2017-2018,Total,3090020,Stanley M Koziol Elementary School,Public,309,Ware,Total,Asthma,62,348.000000000000000,17.8,13.4,22.2,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Stanley M Koziol Elementary School,35.6843452,0.0748402,15.9354734,20.2476215,22044,53.904994776972572,378258,50.181506317789079
06220010,Millville Elementary School,122 Berthelette Way,Millville,MILLVILLE,01529,508-876-0177,"PK,K,01,02",ELE,Public Elementary,Blackstone-Millville,06220000,1708902, ,2017-2018,Total,6220010,Millville Elementary,Public,180,Merrimac,Total,Asthma,20,225.000000000000000,8.9,5,12.8,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Millville Elementary School,62.2129440,0.0742678,14.9383106,22.5655975,9431,16.214151903084396,392510,134.755652119687539
04560050,Lowell Community Charter Public School,206 Jackson Street,Lowell,LOWELL,01852,978-323-0800,"PK,K,01,02,03,04,05,06,07,08",CHA,Charter,Lowell Community Charter,04560000,1978735, ,2017-2018,Total,4560050,Lowell Community Charter Public School,Charter,160,Lowell,Total,Asthma,166,773.000000000000000,21.5,18.2,24.8,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Lowell Community Charter Public School,35.4414101,0.0660939,15.1329641,22.8877048,43133,32.474111731734141,162904,22.780217669311728
